Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Away,AwayGoals,Attendance,Venue,Referee,Notes,MatchURL
Austrian Football Bundesliga,M,AUT,2019,Regular season,1,Fri,2018-07-27,20:45,Austria Wien,2,Wacker Innsbr,1,12673,Generali Arena,Christopher Jäger,,https://fbref.com/en/matches/6c36d5e8/Austria-Wien-Wacker-Innsbruck-July-27-2018-Austrian-Bundesliga
Austrian Football Bundesliga,M,AUT,2019,Regular season,1,Sat,2018-07-28,17:00,SCR Altach,2,Mattersburg,3,4523,CASHPOINT Arena,Dieter Muckenhammer,,https://fbref.com/en/matches/b5940ee5/Rheindorf-Altach-Mattersburg-July-28-2018-Austrian-Bundesliga
Austrian Football Bundesliga,M,AUT,2019,Regular season,1,Sat,2018-07-28,17:00,Sturm Graz,3,Hartberg,2,10785,Merkur Arena,Rene Eisner,,https://fbref.com/en/matches/f54b7835/Sturm-Graz-Hartberg-July-28-2018-Austrian-Bundesliga
Austrian Football Bundesliga,M,AUT,2019,Regular season,1,Sun,2018-07-29,17:00,St. Pölten,4,Wolfsberger AC,3,2786,NV Arena,Robert Schörgenhofer,,https://fbref.com/en/matches/44323758/St-Polten-Wolfsberger-AC-July-29-2018-Austrian-Bundesliga
Austrian Football Bundesliga,M,AUT,2019,Regular season,1,Sun,2018-07-29,17:00,Admira,0,Rapid Wien,3,5200,BSFZ-Arena,Alexander Harkam,,https://fbref.com/en/matches/9b206c50/Admira-Wacker-Modling-Rapid-Wien-July-29-2018-Austrian-Bundesliga
Austrian Football Bundesliga,M,AUT,2019,Regular season,1,Sun,2018-07-29,17:00,RB Salzburg,3,LASK,1,11532,Red Bull Arena,Harald Lechner,,https://fbref.com/en/matches/7704f43d/Red-Bull-Salzburg-LASK-July-29-2018-Austrian-Bundesliga
Austrian Football Bundesliga,M,AUT,2019,Relegation round,1,Sat,2019-03-30,17:00,Hartberg,0,Wacker Innsbr,2,4635,PROfertil ARENA,Stefan Ebner,,https://fbref.com/en/matches/ed31c559/Hartberg-Wacker-Innsbruck-March-30-2019-Austrian-Bundesliga
Austrian Football Bundesliga,M,AUT,2019,Relegation round,1,Sat,2019-03-30,17:00,SCR Altach,2,Mattersburg,1,4048,CASHPOINT Arena,Manuel Schüttengruber,,https://fbref.com/en/matches/9473e323/Rheindorf-Altach-Mattersburg-March-30-2019-Austrian-Bundesliga
Austrian Football Bundesliga,M,AUT,2019,Relegation round,1,Sat,2019-03-30,17:00,Rapid Wien,3,Admira,0,11600,Allianz Stadion,Rene Eisner,,https://fbref.com/en/matches/0cc0fe4a/Rapid-Wien-Admira-Wacker-Modling-March-30-2019-Austrian-Bundesliga
Austrian Football Bundesliga,M,AUT,2019,Championship round,1,Sun,2019-03-31,14:30,Sturm Graz,0,St. Pölten,1,8567,Merkur Arena,Dominik Ouschan,,https://fbref.com/en/matches/ea07224c/Sturm-Graz-St-Polten-March-31-2019-Austrian-Bundesliga
