Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Home_xG,Away,AwayGoals,Away_xG,Attendance,Venue,Referee,Notes,MatchURL
Belgian Pro League,M,BEL,2019,Regular season,1,Fri,2018-07-27,20:30,Standard Liège,3,1.6,Gent,2,1.5,21169,Stade Maurice Dufrasne,Nicolas Laforge,,https://fbref.com/en/matches/fe9de7bd/Standard-Liege-Gent-July-27-2018-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Regular season,1,Sat,2018-07-28,18:00,Kortrijk,1,0.4,Anderlecht,4,1.8,7189,Guldensporenstadion,Bram Van Driessche,,https://fbref.com/en/matches/28bcdecc/Kortrijk-Anderlecht-July-28-2018-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Regular season,1,Sat,2018-07-28,20:00,Sint-Truiden,0,0.8,Cercle Brugge,0,0.6,5346,Stayen,Bert Put,,https://fbref.com/en/matches/cd576d9e/Sint-Truiden-Cercle-Brugge-July-28-2018-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Regular season,1,Sat,2018-07-28,20:00,Zulte Waregem,2,2.4,Waas-Beveren,2,0.3,5208,Regenboogstadion,Jan Boterberg,,https://fbref.com/en/matches/d15c7157/Zulte-Waregem-Waasland-Beveren-July-28-2018-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Regular season,1,Sat,2018-07-28,20:30,Oostende,2,0.8,Excel Mouscron,1,0.9,4616,Versluys Arena,Wesley Alen,,https://fbref.com/en/matches/a692e07d/Oostende-Excel-Mouscron-July-28-2018-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Regular season,1,Sun,2018-07-29,14:30,Club Brugge,5,4.3,Eupen,2,2.2,19408,Jan Breydelstadion,Nathan Verboomen,,https://fbref.com/en/matches/5457a794/Club-Brugge-Eupen-July-29-2018-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Regular season,1,Sun,2018-07-29,18:00,Charleroi,0,1.1,Antwerp,1,1.7,9006,Stade du Pays de Charleroi,Lawrence Visser,,https://fbref.com/en/matches/ae06c101/Charleroi-Antwerp-July-29-2018-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Regular season,1,Sun,2018-07-29,20:00,Lokeren,0,0.3,Genk,4,3.1,4493,Daknamstadion,Bart Vertenten,,https://fbref.com/en/matches/40068a79/Lokeren-Genk-July-29-2018-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Championship play-off,1,Fri,2019-03-29,20:30,Standard Liège,3,2,Antwerp,1,0.8,21806,Stade Maurice Dufrasne,Lawrence Visser,,https://fbref.com/en/matches/708e7e5c/Standard-Liege-Antwerp-March-29-2019-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Championship play-off,1,Sat,2019-03-30,20:30,Genk,3,1.1,Anderlecht,0,0.8,20780,Luminus Arena,Nicolas Laforge,,https://fbref.com/en/matches/999fd19a/Genk-Anderlecht-March-30-2019-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Championship play-off,1,Sun,2019-03-31,18:00,Club Brugge,3,3.9,Gent,0,0.3,25452,Jan Breydelstadion,Erik Lambrechts,,https://fbref.com/en/matches/6655a8b5/Club-Brugge-Gent-March-31-2019-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Regular season,10,Fri,2018-10-05,20:30,Cercle Brugge,2,0.3,Charleroi,1,1.8,4796,Jan Breydelstadion,Wim Smet,,https://fbref.com/en/matches/d172e3b7/Cercle-Brugge-Charleroi-October-5-2018-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Regular season,10,Sat,2018-10-06,18:00,Eupen,1,1.5,Antwerp,2,0.6,3808,Stadion am Kehrweg,Bert Put,,https://fbref.com/en/matches/0b7193b5/Eupen-Antwerp-October-6-2018-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Regular season,10,Sat,2018-10-06,20:00,Lokeren,1,1,Kortrijk,3,2.4,3250,Daknamstadion,Alexandre Boucaut,,https://fbref.com/en/matches/47165dba/Lokeren-Kortrijk-October-6-2018-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Regular season,10,Sat,2018-10-06,20:00,Sint-Truiden,3,3.4,Excel Mouscron,1,3.2,6196,Stayen,Kevin Van Damme,,https://fbref.com/en/matches/d38a0c32/Sint-Truiden-Excel-Mouscron-October-6-2018-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Regular season,10,Sat,2018-10-06,20:30,Waas-Beveren,1,0.5,Oostende,1,0.6,2975,Freethiel-Stadion,Erik Lambrechts,,https://fbref.com/en/matches/20c6c0c1/Waasland-Beveren-Oostende-October-6-2018-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Regular season,10,Sun,2018-10-07,14:30,Zulte Waregem,1,1.1,Anderlecht,2,1.6,7932,Regenboogstadion,Jonathan Lardot,,https://fbref.com/en/matches/b53d2d92/Zulte-Waregem-Anderlecht-October-7-2018-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Regular season,10,Sun,2018-10-07,18:00,Standard Liège,3,3,Club Brugge,1,0.7,22292,Stade Maurice Dufrasne,Bart Vertenten,,https://fbref.com/en/matches/8121d288/Standard-Liege-Club-Brugge-October-7-2018-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Regular season,10,Sun,2018-10-07,20:00,Gent,1,1.7,Genk,5,2.6,15723,GHELAMCO-arena,Lawrence Visser,,https://fbref.com/en/matches/b6954cd8/Gent-Genk-October-7-2018-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Championship play-off,10,Sun,2019-05-19,18:00,Club Brugge,3,4.1,Antwerp,2,2.7,21644,Jan Breydelstadion,Nicolas Laforge,,https://fbref.com/en/matches/85c86ddb/Club-Brugge-Antwerp-May-19-2019-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Championship play-off,10,Sun,2019-05-19,18:00,Genk,0,2.6,Standard Liège,0,1.2,23624,Luminus Arena,Erik Lambrechts,,https://fbref.com/en/matches/45aa5171/Genk-Standard-Liege-May-19-2019-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Championship play-off,10,Sun,2019-05-19,18:00,Gent,2,2.6,Anderlecht,1,1.6,16642,GHELAMCO-arena,Bram Van Driessche,,https://fbref.com/en/matches/335e4c51/Gent-Anderlecht-May-19-2019-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Regular season,11,Fri,2018-10-19,20:30,Club Brugge,1,1.7,Waas-Beveren,1,0.6,21593,Jan Breydelstadion,Alexandre Boucaut,,https://fbref.com/en/matches/e9721cc7/Club-Brugge-Waasland-Beveren-October-19-2018-Belgian-First-Division-A
Belgian Pro League,M,BEL,2019,Regular season,11,Sat,2018-10-20,18:00,Excel Mouscron,0,0.9,Standard Liège,0,0.9,8872,Stade Le Canonnier,Jonathan Lardot,,https://fbref.com/en/matches/ceb400aa/Excel-Mouscron-Standard-Liege-October-20-2018-Belgian-First-Division-A
