Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Away,AwayGoals,Attendance,Venue,Referee,Notes,MatchURL
Croatian Football League,M,CRO,2019,1. HNL,1,Fri,2018-07-27,20:00,Dinamo Zagreb,1,Rudeš,1,2687,Stadion Maksimir,Igor Pajač,,https://fbref.com/en/matches/849d0b97/Dinamo-Zagreb-Rudes-July-27-2018-1-HNL
Croatian Football League,M,CRO,2019,1. HNL,1,Sat,2018-07-28,18:30,Lokomotiva,4,Inter Zaprešić,0,360,Stadion Maksimir,Duje Strukan,,https://fbref.com/en/matches/dec35335/Lokomotiva-Inter-Zapresic-July-28-2018-1-HNL
Croatian Football League,M,CRO,2019,1. HNL,1,Sat,2018-07-28,21:00,Rijeka,2,Gorica,0,5211,Nogometno igralište Rujevica,Igor Križarić,,https://fbref.com/en/matches/a72f289d/Rijeka-Gorica-July-28-2018-1-HNL
Croatian Football League,M,CRO,2019,1. HNL,1,Sun,2018-07-29,18:30,Istra 1961,1,Slaven Belupo,1,2002,Stadion Aldo Drosina,Mario Zebec,,https://fbref.com/en/matches/91619a4f/Istra-1961-Slaven-Belupo-July-29-2018-1-HNL
Croatian Football League,M,CRO,2019,1. HNL,1,Sun,2018-07-29,21:00,Osijek,4,Hajduk Split,1,4444,Stadion Gradski vrt,Fran Jović,,https://fbref.com/en/matches/06407b45/Osijek-Hajduk-Split-July-29-2018-1-HNL
Croatian Football League,M,CRO,2019,1. HNL,10,Fri,2018-10-05,18:00,Inter Zaprešić,2,Lokomotiva,1,245,Stadion ŠRC Zaprešić,Marin Vidulin,,https://fbref.com/en/matches/ecb1a0be/Inter-Zapresic-Lokomotiva-October-5-2018-1-HNL
Croatian Football League,M,CRO,2019,1. HNL,10,Sat,2018-10-06,15:00,Gorica,2,Rijeka,1,2659,ŠRC Velika Gorica,Fran Jović,,https://fbref.com/en/matches/885cd98d/Gorica-Rijeka-October-6-2018-1-HNL
Croatian Football League,M,CRO,2019,1. HNL,10,Sat,2018-10-06,19:00,Slaven Belupo,3,Istra 1961,1,951,Gradski Stadion,Dario Bel,,https://fbref.com/en/matches/ed95f619/Slaven-Belupo-Istra-1961-October-6-2018-1-HNL
Croatian Football League,M,CRO,2019,1. HNL,10,Sun,2018-10-07,16:30,Rudeš,0,Dinamo Zagreb,3,1027,Stadion Kranjčevićeva,Ivan Vučković,,https://fbref.com/en/matches/90509a27/Rudes-Dinamo-Zagreb-October-7-2018-1-HNL
Croatian Football League,M,CRO,2019,1. HNL,10,Sun,2018-10-07,19:00,Hajduk Split,0,Osijek,2,8545,Stadion Poljud,Ivan Bebek,,https://fbref.com/en/matches/dad9fd34/Hajduk-Split-Osijek-October-7-2018-1-HNL
