Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Away,AwayGoals,Attendance,Venue,Referee,Notes,MatchURL
Czech First League,M,CZE,2019,Regular season,1,Fri,2018-07-20,18:30,Dukla Prague,1,Viktoria Plzeň,3,5039,Stadion Juliska,Pavel Franek,,https://fbref.com/en/matches/1ccfb2cd/Dukla-Prague-Viktoria-Plzen-July-20-2018-Czech-First-League
Czech First League,M,CZE,2019,Regular season,1,Sat,2018-07-21,17:00,Slovan Liberec,1,Karviná,0,4548,Stadion u Nisy,Paval Julínek,,https://fbref.com/en/matches/ecabb882/Slovan-Liberec-Karvina-July-21-2018-Czech-First-League
Czech First League,M,CZE,2019,Regular season,1,Sat,2018-07-21,17:00,Příbram,1,Teplice,1,3758,Energon Aréna,Radek Příhoda,,https://fbref.com/en/matches/a2996165/Pribram-Teplice-July-21-2018-Czech-First-League
Czech First League,M,CZE,2019,Regular season,1,Sat,2018-07-21,17:00,Fastav Zlín,3,Mladá Boleslav,2,3852,Stadion Letná,Zbyněk Proske,,https://fbref.com/en/matches/1f6af8b9/Fastav-Zlin-Mlada-Boleslav-July-21-2018-Czech-First-League
Czech First League,M,CZE,2019,Regular season,1,Sat,2018-07-21,19:00,Sparta Prague,2,Opava,0,12186,Generali Arena,Pavel Královec,,https://fbref.com/en/matches/a2b40df2/Sparta-Prague-Opava-July-21-2018-Czech-First-League
Czech First League,M,CZE,2019,Regular season,1,Sun,2018-07-22,15:00,Bohemians 1905,2,Slovácko,1,4812,Stadion Ďolíček,Petr Ardeleánu,,https://fbref.com/en/matches/b277878e/Bohemians-1905-Slovacko-July-22-2018-Czech-First-League
Czech First League,M,CZE,2019,Regular season,1,Sun,2018-07-22,18:00,Sigma Olomouc,0,Slavia Prague,3,9548,Andrův stadion,Miroslav Zelinka,,https://fbref.com/en/matches/afad938e/Sigma-Olomouc-Slavia-Prague-July-22-2018-Czech-First-League
Czech First League,M,CZE,2019,Regular season,1,Mon,2018-07-23,18:00,Baník Ostrava,1,Jablonec,0,8869,Městský stadion - Vítkovice Aréna,Karel Hrubes,,https://fbref.com/en/matches/18b5cd30/Banik-Ostrava-Jablonec-July-23-2018-Czech-First-League
Czech First League,M,CZE,2019,Relegation round,1,Fri,2019-05-03,18:00,Dukla Prague,1,Bohemians 1905,1,2714,Stadion Juliska,Ondřej Lerch,,https://fbref.com/en/matches/420a19ae/Dukla-Prague-Bohemians-1905-May-3-2019-Czech-First-League
Czech First League,M,CZE,2019,Championship round,1,Sat,2019-05-04,17:30,Sparta Prague,3,Baník Ostrava,0,11423,Generali Arena,Pavel Královec,,https://fbref.com/en/matches/2af81bae/Sparta-Prague-Banik-Ostrava-May-4-2019-Czech-First-League
Czech First League,M,CZE,2019,Championship round,1,Sat,2019-05-04,20:00,Slovan Liberec,0,Slavia Prague,0,7523,Stadion u Nisy,Emanuel Marek,,https://fbref.com/en/matches/c97a7f9e/Slovan-Liberec-Slavia-Prague-May-4-2019-Czech-First-League
Czech First League,M,CZE,2019,Relegation round,1,Sun,2019-05-05,15:30,Opava,1,Karviná,0,3327,Stadion v Městských sadech,Pavel Rejžek,,https://fbref.com/en/matches/d4e848c1/Opava-Karvina-May-5-2019-Czech-First-League
