Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Home_xG,Away,AwayGoals,Away_xG,Attendance,Venue,Referee,Notes,MatchURL
Premier League,M,ENG,2019,NA,1,Fri,2018-08-10,20:00,Manchester Utd,2,1.5,Leicester City,1,1.8,74439,Old Trafford,Andre Marriner,NA,https://fbref.com/en/matches/3ae83896/Manchester-United-Leicester-City-August-10-2018-Premier-League
Premier League,M,ENG,2019,NA,1,Sat,2018-08-11,12:30,Newcastle Utd,1,1,Tottenham,2,2,51749,St. James' Park,Martin Atkinson,NA,https://fbref.com/en/matches/dce15e01/Newcastle-United-Tottenham-Hotspur-August-11-2018-Premier-League
Premier League,M,ENG,2019,NA,1,Sat,2018-08-11,15:00,Fulham,0,0.7,Crystal Palace,2,1,24821,Craven Cottage,Mike Dean,NA,https://fbref.com/en/matches/30875601/Fulham-Crystal-Palace-August-11-2018-Premier-League
Premier League,M,ENG,2019,NA,1,Sat,2018-08-11,15:00,Bournemouth,2,2.2,Cardiff City,0,1.4,10353,Vitality Stadium,Kevin Friend,NA,https://fbref.com/en/matches/352f5574/Bournemouth-Cardiff-City-August-11-2018-Premier-League
Premier League,M,ENG,2019,NA,1,Sat,2018-08-11,15:00,Huddersfield,0,0.3,Chelsea,3,1.9,24121,The John Smith's Stadium,Chris Kavanagh,NA,https://fbref.com/en/matches/d82a37a7/Huddersfield-Town-Chelsea-August-11-2018-Premier-League
Premier League,M,ENG,2019,NA,1,Sat,2018-08-11,15:00,Watford,2,1.2,Brighton,0,0.3,20051,Vicarage Road Stadium,Jonathan Moss,NA,https://fbref.com/en/matches/b3a7c703/Watford-Brighton-and-Hove-Albion-August-11-2018-Premier-League
Premier League,M,ENG,2019,NA,1,Sat,2018-08-11,17:30,Wolves,2,1,Everton,2,1,31231,Molineux Stadium,Craig Pawson,NA,https://fbref.com/en/matches/8dc8eaeb/Wolverhampton-Wanderers-Everton-August-11-2018-Premier-League
Premier League,M,ENG,2019,NA,1,Sun,2018-08-12,13:30,Southampton,0,1.1,Burnley,0,1.4,30784,St. Mary's Stadium,Graham Scott,NA,https://fbref.com/en/matches/aadb88b9/Southampton-Burnley-August-12-2018-Premier-League
Premier League,M,ENG,2019,NA,1,Sun,2018-08-12,13:30,Liverpool,4,4,West Ham,0,0.7,53235,Anfield,Anthony Taylor,NA,https://fbref.com/en/matches/fc2c1788/Liverpool-West-Ham-United-August-12-2018-Premier-League
Premier League,M,ENG,2019,NA,1,Sun,2018-08-12,16:00,Arsenal,0,0.5,Manchester City,2,1.7,59934,Emirates Stadium,Michael Oliver,NA,https://fbref.com/en/matches/478e9dab/Arsenal-Manchester-City-August-12-2018-Premier-League
Premier League,M,ENG,2019,NA,10,Sat,2018-10-27,15:00,Southampton,0,1.1,Newcastle Utd,0,0.4,30736,St. Mary's Stadium,Chris Kavanagh,NA,https://fbref.com/en/matches/4e9ca23b/Southampton-Newcastle-United-October-27-2018-Premier-League
Premier League,M,ENG,2019,NA,10,Sat,2018-10-27,15:00,Liverpool,4,2.4,Cardiff City,1,0.8,53373,Anfield,Stuart Attwell,NA,https://fbref.com/en/matches/8df7e453/Liverpool-Cardiff-City-October-27-2018-Premier-League
Premier League,M,ENG,2019,NA,10,Sat,2018-10-27,15:00,Brighton,1,0.9,Wolves,0,1.4,30654,The American Express Community Stadium,Anthony Taylor,NA,https://fbref.com/en/matches/1b2a6c82/Brighton-and-Hove-Albion-Wolverhampton-Wanderers-October-27-2018-Premier-League
