Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Home_xG,Away,AwayGoals,Away_xG,Attendance,Venue,Referee,Notes,MatchURL
Ligue 1,M,FRA,2019,Ligue 1,1,Fri,2018-08-10,20:45,Marseille,4,3.2,Toulouse,0,0.3,60756,Orange Vélodrome,Ruddy Buquet,,https://fbref.com/en/matches/8818bccb/Marseille-Toulouse-August-10-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,1,Sat,2018-08-11,17:00,Nantes,1,1.4,Monaco,3,2.6,32760,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,,https://fbref.com/en/matches/cfa44f15/Nantes-Monaco-August-11-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,1,Sat,2018-08-11,20:00,Montpellier,1,1.3,Dijon,2,2,12765,Stade de la Mosson,Florent Batta,,https://fbref.com/en/matches/002eb19a/Montpellier-Dijon-August-11-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,1,Sat,2018-08-11,20:00,Angers,3,2.8,Nîmes,4,1.5,9534,Stade Raymond Kopa,Antony Gautier,,https://fbref.com/en/matches/f18b4a9b/Angers-Nimes-August-11-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,1,Sat,2018-08-11,20:00,Saint-Étienne,2,0.8,Guingamp,1,1.6,26006,Stade Geoffroy-Guichard,Amaury Delerue,,https://fbref.com/en/matches/74211c45/Saint-Etienne-Guingamp-August-11-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,1,Sat,2018-08-11,20:00,Lille,3,1.7,Rennes,1,0.5,25708,Stade Pierre-Mauroy,Willy Delajod,,https://fbref.com/en/matches/c19cba06/Lille-Rennes-August-11-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,1,Sat,2018-08-11,20:00,Nice,0,1.2,Reims,1,0.3,21421,Stade de Nice,Johan Hamel,,https://fbref.com/en/matches/0446fd28/Nice-Reims-August-11-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,1,Sun,2018-08-12,15:00,Lyon,2,1.4,Amiens,0,0.4,48263,Groupama Stadium,Franck Schneider,,https://fbref.com/en/matches/c17d091d/Lyon-Amiens-August-12-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,1,Sun,2018-08-12,17:00,Bordeaux,0,0.2,Strasbourg,2,1.5,23079,Stade Matmut-Atlantique,Hakim Ben El Hadj Salem,,https://fbref.com/en/matches/f134cf1e/Bordeaux-Strasbourg-August-12-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,1,Sun,2018-08-12,21:00,Paris S-G,3,3,Caen,0,0.2,47289,Parc des Princes,Benoît Bastien,,https://fbref.com/en/matches/ed566f34/Paris-Saint-Germain-Caen-August-12-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,10,Fri,2018-10-19,20:45,Lyon,2,1.9,Nîmes,0,1.4,42896,Groupama Stadium,Olivier Thual,,https://fbref.com/en/matches/79a991c1/Lyon-Nimes-October-19-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,10,Sat,2018-10-20,17:00,Paris S-G,5,2.4,Amiens,0,0.7,47497,Parc des Princes,Mikael Lesage,,https://fbref.com/en/matches/035d3aad/Paris-Saint-Germain-Amiens-October-20-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,10,Sat,2018-10-20,20:00,Reims,1,1.1,Angers,1,1.7,10954,Stade Auguste-Delaune,Eric Wattellier,,https://fbref.com/en/matches/0d7f77b0/Reims-Angers-October-20-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,10,Sat,2018-10-20,20:00,Dijon,1,1.6,Lille,2,2,13004,Stade Gaston Gérard,Thomas Léonard,,https://fbref.com/en/matches/4d8bec2d/Dijon-Lille-October-20-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,10,Sat,2018-10-20,20:00,Nantes,4,2.5,Toulouse,0,0.5,22613,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,,https://fbref.com/en/matches/274c4cb2/Nantes-Toulouse-October-20-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,10,Sat,2018-10-20,20:00,Strasbourg,2,0.9,Monaco,1,1.5,25358,Stade de la Meinau,Nicolas Rainville,,https://fbref.com/en/matches/da4b397e/Strasbourg-Monaco-October-20-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,10,Sat,2018-10-20,20:00,Caen,0,0.4,Guingamp,0,0.4,16009,Stade Michel d'Ornano,Hakim Ben El Hadj Salem,,https://fbref.com/en/matches/4210903c/Caen-Guingamp-October-20-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,10,Sun,2018-10-21,15:00,Montpellier,2,1.9,Bordeaux,0,1,12491,Stade de la Mosson,Franck Schneider,,https://fbref.com/en/matches/dbc08fd9/Montpellier-Bordeaux-October-21-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,10,Sun,2018-10-21,17:00,Saint-Étienne,1,1.8,Rennes,1,1.9,29557,Stade Geoffroy-Guichard,Clément Turpin,,https://fbref.com/en/matches/1f50e1a7/Saint-Etienne-Rennes-October-21-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,10,Sun,2018-10-21,21:00,Nice,0,0.7,Marseille,1,0.5,30754,Stade de Nice,Amaury Delerue,,https://fbref.com/en/matches/f4dc7030/Nice-Marseille-October-21-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,11,Fri,2018-10-26,20:45,Nîmes,1,1.3,Saint-Étienne,1,0.8,15412,Stade des Costières,François Letexier,,https://fbref.com/en/matches/6b3b88be/Nimes-Saint-Etienne-October-26-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,11,Sat,2018-10-27,17:00,Angers,1,1.3,Lyon,2,1.7,14186,Stade Raymond Kopa,Ruddy Buquet,,https://fbref.com/en/matches/91e106d9/Angers-Lyon-October-27-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,11,Sat,2018-10-27,20:00,Lille,1,0.6,Caen,0,0.4,33362,Stade Pierre-Mauroy,Florent Batta,,https://fbref.com/en/matches/a1f18e1f/Lille-Caen-October-27-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,11,Sat,2018-10-27,20:00,Guingamp,1,1.2,Strasbourg,1,1.5,13643,Stade du Roudourou,Willy Delajod,,https://fbref.com/en/matches/3af7f923/Guingamp-Strasbourg-October-27-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,11,Sat,2018-10-27,20:00,Toulouse,0,1.2,Montpellier,3,1.5,14100,Stadium Municipal,Karim Abed,,https://fbref.com/en/matches/091274cf/Toulouse-Montpellier-October-27-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,11,Sat,2018-10-27,20:00,Amiens,1,1.2,Nantes,2,1.6,11384,Stade de la Licorne,Jeremy Stinat,,https://fbref.com/en/matches/35f3cce2/Amiens-Nantes-October-27-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,11,Sat,2018-10-27,20:00,Monaco,2,1,Dijon,2,0.6,7139,Stade Louis II,Jérôme Miguelgorry,,https://fbref.com/en/matches/18916f9c/Monaco-Dijon-October-27-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,11,Sun,2018-10-28,15:00,Rennes,0,0.6,Reims,2,0.3,22710,Roazhon Park,Benoît Millot,,https://fbref.com/en/matches/cc86cdf3/Rennes-Reims-October-28-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,11,Sun,2018-10-28,17:00,Bordeaux,0,2,Nice,1,1.1,20730,Stade Matmut-Atlantique,Jérôme Brisard,,https://fbref.com/en/matches/cc5aa1d0/Bordeaux-Nice-October-28-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,11,Sun,2018-10-28,21:00,Marseille,0,0.6,Paris S-G,2,1.5,64696,Orange Vélodrome,Benoît Bastien,,https://fbref.com/en/matches/12a14761/Marseille-Paris-Saint-Germain-October-28-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,12,Fri,2018-11-02,20:45,Paris S-G,2,1.9,Lille,1,1,47549,Parc des Princes,François Letexier,,https://fbref.com/en/matches/5da755cd/Paris-Saint-Germain-Lille-November-2-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,12,Sat,2018-11-03,17:00,Lyon,1,0.3,Bordeaux,1,1.4,46653,Groupama Stadium,Benoît Millot,,https://fbref.com/en/matches/c4e74b0c/Lyon-Bordeaux-November-3-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,12,Sat,2018-11-03,20:00,Strasbourg,1,1,Toulouse,1,1,25034,Stade de la Meinau,Jérôme Miguelgorry,,https://fbref.com/en/matches/e426ced1/Strasbourg-Toulouse-November-3-2018-Ligue-1
Ligue 1,M,FRA,2019,Ligue 1,12,Sat,2018-11-03,20:00,Dijon,0,1.8,Nîmes,4,2.2,12113,Stade Gaston Gérard,Franck Schneider,,https://fbref.com/en/matches/31c0adcf/Dijon-Nimes-November-3-2018-Ligue-1
