Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Home_xG,Away,AwayGoals,Away_xG,Attendance,Venue,Referee,Notes,MatchURL
Fußball-Bundesliga,M,GER,2019,Bundesliga,1,Fri,2018-08-24,20:30,Bayern Munich,3,2.7,Hoffenheim,1,0.7,75000,Allianz Arena,Bastian Dankert,,https://fbref.com/en/matches/2d71c150/Bayern-Munich-Hoffenheim-August-24-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,1,Sat,2018-08-25,15:30,Hertha BSC,1,1.4,Nürnberg,0,1.7,52729,Olympiastadion Berlin,Tobias Welz,,https://fbref.com/en/matches/192de586/Hertha-BSC-Nurnberg-August-25-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,1,Sat,2018-08-25,15:30,Wolfsburg,2,1,Schalke 04,1,1.4,26621,Volkswagen Arena,Patrick Ittrich,,https://fbref.com/en/matches/68b2ba8a/Wolfsburg-Schalke-04-August-25-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,1,Sat,2018-08-25,15:30,Freiburg,0,1.7,Eint Frankfurt,2,0.8,24000,Schwarzwald-Stadion,Manuel Gräfe,,https://fbref.com/en/matches/9c4f1720/Freiburg-Eintracht-Frankfurt-August-25-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,1,Sat,2018-08-25,15:30,Werder Bremen,1,2.1,Hannover 96,1,1.2,42100,Weserstadion,Felix Brych,,https://fbref.com/en/matches/3c44775e/Werder-Bremen-Hannover-96-August-25-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,1,Sat,2018-08-25,15:30,Düsseldorf,1,0.9,Augsburg,2,1,40996,Merkur Spielarena,Markus Schmidt,,https://fbref.com/en/matches/05a8c375/Dusseldorf-Augsburg-August-25-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,1,Sat,2018-08-25,18:30,Gladbach,2,3.3,Leverkusen,0,1.1,53087,Stadion im Borussia-Park,Christian Dingert,,https://fbref.com/en/matches/96b00eb9/Monchengladbach-Bayer-Leverkusen-August-25-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,1,Sun,2018-08-26,15:30,Mainz 05,1,1.2,Stuttgart,0,0.9,28705,Opel Arena,Daniel Siebert,,https://fbref.com/en/matches/ab725d34/Mainz-05-Stuttgart-August-26-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,1,Sun,2018-08-26,18:00,Dortmund,4,1.4,RB Leipzig,1,1.6,80365,Signal Iduna Park,Deniz Aytekin,,https://fbref.com/en/matches/fbbdd6b2/Dortmund-RB-Leipzig-August-26-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,10,Fri,2018-11-02,20:30,Stuttgart,0,1,Eint Frankfurt,3,2.7,58016,Mercedes-Benz Arena,Sven Jablonski,,https://fbref.com/en/matches/1593c53b/Stuttgart-Eintracht-Frankfurt-November-2-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,10,Sat,2018-11-03,15:30,Schalke 04,3,2.9,Hannover 96,1,1.3,61959,Veltins-Arena,Markus Schmidt,,https://fbref.com/en/matches/c93e3407/Schalke-04-Hannover-96-November-3-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,10,Sat,2018-11-03,15:30,Leverkusen,1,2.4,Hoffenheim,4,1.8,27589,BayArena,Tobias Stieler,,https://fbref.com/en/matches/a1e1179b/Bayer-Leverkusen-Hoffenheim-November-3-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,10,Sat,2018-11-03,15:30,Bayern Munich,1,1.7,Freiburg,1,0.6,75000,Allianz Arena,Felix Zwayer,,https://fbref.com/en/matches/408f6dc6/Bayern-Munich-Freiburg-November-3-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,10,Sat,2018-11-03,15:30,Augsburg,2,2.1,Nürnberg,2,1.3,30660,WWK Arena,Patrick Ittrich,,https://fbref.com/en/matches/1e678cd2/Augsburg-Nurnberg-November-3-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,10,Sat,2018-11-03,15:30,Wolfsburg,0,0.5,Dortmund,1,1.2,30000,Volkswagen Arena,Daniel Siebert,,https://fbref.com/en/matches/375b60fd/Wolfsburg-Dortmund-November-3-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,10,Sat,2018-11-03,18:30,Hertha BSC,0,1.6,RB Leipzig,3,4,50382,Olympiastadion Berlin,Deniz Aytekin,,https://fbref.com/en/matches/17aa3a1a/Hertha-BSC-RB-Leipzig-November-3-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,10,Sun,2018-11-04,15:30,Gladbach,3,3,Düsseldorf,0,0.8,54022,Stadion im Borussia-Park,Felix Brych,,https://fbref.com/en/matches/c29225cf/Monchengladbach-Dusseldorf-November-4-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,10,Sun,2018-11-04,18:00,Mainz 05,2,1,Werder Bremen,1,1.5,25105,Opel Arena,Guido Winkmann,,https://fbref.com/en/matches/cdadcded/Mainz-05-Werder-Bremen-November-4-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,11,Fri,2018-11-09,20:30,Hannover 96,2,2.3,Wolfsburg,1,2.6,35800,HDI-Arena,Marco Fritz,,https://fbref.com/en/matches/0909b53d/Hannover-96-Wolfsburg-November-9-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,11,Sat,2018-11-10,15:30,Freiburg,1,1.9,Mainz 05,3,0.8,24000,Schwarzwald-Stadion,Sascha Stegemann,,https://fbref.com/en/matches/3fdf54f5/Freiburg-Mainz-05-November-10-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,11,Sat,2018-11-10,15:30,Nürnberg,0,0.6,Stuttgart,2,1.5,50000,Max-Morlock-Stadion,Christian Dingert,,https://fbref.com/en/matches/dca51b78/Nurnberg-Stuttgart-November-10-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,11,Sat,2018-11-10,15:30,Düsseldorf,4,2.8,Hertha BSC,1,1,38743,Merkur Spielarena,Robert Hartmann,,https://fbref.com/en/matches/dc45d2c0/Dusseldorf-Hertha-BSC-November-10-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,11,Sat,2018-11-10,15:30,Hoffenheim,2,1.9,Augsburg,1,1.4,27009,PreZero Arena,Robert Schröder,,https://fbref.com/en/matches/56b0ce56/Hoffenheim-Augsburg-November-10-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,11,Sat,2018-11-10,15:30,Werder Bremen,1,1.4,Gladbach,3,2.7,42100,Weserstadion,Sören Storks,,https://fbref.com/en/matches/2fbfcdf0/Werder-Bremen-Monchengladbach-November-10-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,11,Sat,2018-11-10,18:30,Dortmund,3,2.7,Bayern Munich,2,1.9,81365,Signal Iduna Park,Manuel Gräfe,,https://fbref.com/en/matches/80e16d9f/Der-Klassiker-Dortmund-Bayern-Munich-November-10-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,11,Sun,2018-11-11,15:30,RB Leipzig,3,2.5,Leverkusen,0,0.6,36155,Red Bull Arena,Martin Petersen,,https://fbref.com/en/matches/160d8be8/RB-Leipzig-Bayer-Leverkusen-November-11-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,11,Sun,2018-11-11,18:00,Eint Frankfurt,3,2.2,Schalke 04,0,0.8,50700,Commerzbank-Arena,Benjamin Cortus,,https://fbref.com/en/matches/901aa2bf/Eintracht-Frankfurt-Schalke-04-November-11-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,12,Fri,2018-11-23,20:30,Leverkusen,2,2.3,Stuttgart,0,0.5,24632,BayArena,Robert Schröder,,https://fbref.com/en/matches/cdcf899e/Bayer-Leverkusen-Stuttgart-November-23-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,12,Sat,2018-11-24,15:30,Hertha BSC,3,3.1,Hoffenheim,3,1.3,44508,Olympiastadion Berlin,Tobias Welz,,https://fbref.com/en/matches/e6ab4097/Hertha-BSC-Hoffenheim-November-24-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,12,Sat,2018-11-24,15:30,Bayern Munich,3,2.2,Düsseldorf,3,1.3,75000,Allianz Arena,Sven Jablonski,,https://fbref.com/en/matches/e3cafb23/Bayern-Munich-Dusseldorf-November-24-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,12,Sat,2018-11-24,15:30,Wolfsburg,1,1.4,RB Leipzig,0,0.5,22832,Volkswagen Arena,Tobias Stieler,,https://fbref.com/en/matches/e10ce14b/Wolfsburg-RB-Leipzig-November-24-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,12,Sat,2018-11-24,15:30,Mainz 05,1,1.2,Dortmund,2,1,33305,Opel Arena,Deniz Aytekin,,https://fbref.com/en/matches/8483dbb6/Mainz-05-Dortmund-November-24-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,12,Sat,2018-11-24,15:30,Augsburg,1,1.6,Eint Frankfurt,3,3.2,30660,WWK Arena,Felix Zwayer,,https://fbref.com/en/matches/8f259109/Augsburg-Eintracht-Frankfurt-November-24-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,12,Sat,2018-11-24,18:30,Schalke 04,5,2.5,Nürnberg,2,2.3,62271,Veltins-Arena,Guido Winkmann,,https://fbref.com/en/matches/2c7e942c/Schalke-04-Nurnberg-November-24-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,12,Sun,2018-11-25,15:30,Freiburg,1,3.1,Werder Bremen,1,1.8,24000,Schwarzwald-Stadion,Bastian Dankert,,https://fbref.com/en/matches/1fda1fe9/Freiburg-Werder-Bremen-November-25-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,12,Sun,2018-11-25,18:00,Gladbach,4,1.5,Hannover 96,1,0.6,48692,Stadion im Borussia-Park,Daniel Siebert,,https://fbref.com/en/matches/29f4426a/Monchengladbach-Hannover-96-November-25-2018-Bundesliga
Fußball-Bundesliga,M,GER,2019,Bundesliga,13,Fri,2018-11-30,20:30,Düsseldorf,0,0.9,Mainz 05,1,1.2,37091,Merkur Spielarena,Manuel Gräfe,,https://fbref.com/en/matches/338f5362/Dusseldorf-Mainz-05-November-30-2018-Bundesliga
