Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Away,AwayGoals,Attendance,Venue,Referee,Notes,MatchURL
Super League Greece,M,GRE,2019,Super League Greece,1,Sat,2018-08-25,19:15,Panetolikos,1,Atromitos,2,2075,Stadio Panetolikou,Georgios Kominis,,https://fbref.com/en/matches/c82f1dfd/Panetolikos-Atromitos-August-25-2018-Super-League-Greece
Super League Greece,M,GRE,2019,Super League Greece,1,Sat,2018-08-25,19:15,PAOK,1,Asteras Tripoli,0,16255,Stadio Toumbas,Aristomenis Koutsiaftis,,https://fbref.com/en/matches/24be5ff2/PAOK-Asteras-Tripoli-August-25-2018-Super-League-Greece
Super League Greece,M,GRE,2019,Super League Greece,1,Sat,2018-08-25,21:30,Apollon Smyrnis,0,Larissa,1,632,Stadio Georgios Kamaras,Efstathios Gortsilas,,https://fbref.com/en/matches/37a6343b/Apollon-Smyrnis-Larissa-August-25-2018-Super-League-Greece
Super League Greece,M,GRE,2019,Super League Greece,1,Sat,2018-08-25,21:30,AEK Athens,2,PAS Giannina,0,7504,Olympiako Stadio Spyros Louis,Athanasios Sezos,,https://fbref.com/en/matches/b86cb0d5/AEK-Athens-PAS-Giannina-August-25-2018-Super-League-Greece
Super League Greece,M,GRE,2019,Super League Greece,1,Sun,2018-08-26,19:15,Panionios,2,OFI Crete,2,1689,Stadio Néas Smírnis,Giorgos Vreskas,,https://fbref.com/en/matches/847d1cba/Panionios-OFI-Crete-August-26-2018-Super-League-Greece
Super League Greece,M,GRE,2019,Super League Greece,1,Sun,2018-08-26,19:15,Xanthi,0,Panathinaikos,1,1933,Xanthi FC Arena,Tasos Sidiropoulos,,https://fbref.com/en/matches/ea0b3919/Xanthi-Panathinaikos-August-26-2018-Super-League-Greece
Super League Greece,M,GRE,2019,Super League Greece,1,Sun,2018-08-26,21:30,Olympiacos,1,Levadiakos,0,15123,Stadio Georgios Karaiskáki,Stefanos Koubarakis,,https://fbref.com/en/matches/c2739226/Olympiacos-Levadiakos-August-26-2018-Super-League-Greece
Super League Greece,M,GRE,2019,Super League Greece,1,Mon,2018-08-27,21:30,PAS Lamia,0,Aris,3,11671,Dimotiko Athlitiko Kentro Lamias,Aristotelis Diamantopoulos,,https://fbref.com/en/matches/203600cd/PAS-Lamia-Aris-August-27-2018-Super-League-Greece
Super League Greece,M,GRE,2019,Super League Greece,10,Sat,2018-11-10,17:15,Larissa,2,PAS Giannina,0,2160,AEL Arena,Praxiteles Zachariadis,,https://fbref.com/en/matches/e97f7ab0/Larissa-PAS-Giannina-November-10-2018-Super-League-Greece
Super League Greece,M,GRE,2019,Super League Greece,10,Sat,2018-11-10,19:00,Xanthi,0,Panionios,1,1284,Xanthi FC Arena,Georgios Kominis,,https://fbref.com/en/matches/8a4c832d/Xanthi-Panionios-November-10-2018-Super-League-Greece
Super League Greece,M,GRE,2019,Super League Greece,10,Sat,2018-11-10,19:30,Levadiakos,2,OFI Crete,1,1237,Stadio Levadias,Evangelos Gratsanis,,https://fbref.com/en/matches/e483b585/Levadiakos-OFI-Crete-November-10-2018-Super-League-Greece
