Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Home_xG,Away,AwayGoals,Away_xG,Attendance,Venue,Referee,Notes,MatchURL
Serie A,M,ITA,2019,NA,1,Sat,2018-08-18,18:00,Chievo,2,1.1,Juventus,3,3.1,29500,Stadio Marc'Antonio Bentegodi,Fabrizio Pasqua,NA,https://fbref.com/en/matches/2758c0c0/Chievo-Juventus-August-18-2018-Serie-A
Serie A,M,ITA,2019,NA,1,Sat,2018-08-18,20:30,Lazio,1,1,Napoli,2,1.4,32000,Stadio Olimpico,Luca Banti,NA,https://fbref.com/en/matches/34947288/Lazio-Napoli-August-18-2018-Serie-A
Serie A,M,ITA,2019,NA,1,Sun,2018-08-19,18:00,Torino,0,0.6,Roma,1,1.2,18000,Stadio Olimpico di Torino,Marco Di Bello,NA,https://fbref.com/en/matches/bf8bed12/Torino-Roma-August-19-2018-Serie-A
Serie A,M,ITA,2019,NA,1,Sun,2018-08-19,20:30,Parma,2,1.5,Udinese,2,1.9,13141,Stadio Ennio Tardini,Giampaolo Calvarese,NA,https://fbref.com/en/matches/52018b4a/Parma-Udinese-August-19-2018-Serie-A
Serie A,M,ITA,2019,NA,1,Sun,2018-08-19,20:30,Empoli,2,1.3,Cagliari,0,0.9,7335,Stadio Carlo Castellani,Daniele Chiffi,NA,https://fbref.com/en/matches/4df38742/Empoli-Cagliari-August-19-2018-Serie-A
Serie A,M,ITA,2019,NA,1,Sun,2018-08-19,20:30,Bologna,0,1,SPAL,1,0.6,21158,Stadio Renato Dall'Ara,Piero Giacomelli,NA,https://fbref.com/en/matches/76ad12fa/Bologna-SPAL-August-19-2018-Serie-A
Serie A,M,ITA,2019,NA,1,Sun,2018-08-19,20:30,Sassuolo,1,1.5,Inter,0,1.1,19104,Stadio Città del Tricolore,Maurizio Mariani,NA,https://fbref.com/en/matches/359379e6/Sassuolo-Internazionale-August-19-2018-Serie-A
Serie A,M,ITA,2019,NA,1,Mon,2018-08-20,20:30,Atalanta,4,2.2,Frosinone,0,0.3,18217,Stadio Atleti Azzurri d'Italia,Marco Piccinini,NA,https://fbref.com/en/matches/3c6aced5/Atalanta-Frosinone-August-20-2018-Serie-A
Serie A,M,ITA,2019,NA,1,Wed,2018-09-19,19:00,Sampdoria,1,0.5,Fiorentina,1,1.4,18334,Stadio Comunale Luigi Ferraris,Fabio Maresca,NA,https://fbref.com/en/matches/55a722ce/Sampdoria-Fiorentina-September-19-2018-Serie-A
Serie A,M,ITA,2019,NA,1,Wed,2018-10-31,20:30,Milan,2,1.4,Genoa,1,0.4,46720,Stadio Giuseppe Meazza,Fabrizio Pasqua,NA,https://fbref.com/en/matches/7a546b8c/Milan-Genoa-October-31-2018-Serie-A
Serie A,M,ITA,2019,NA,10,Sat,2018-10-27,15:00,Atalanta,3,3.3,Parma,0,0.9,18152,Stadio Atleti Azzurri d'Italia,Rosario Abisso,NA,https://fbref.com/en/matches/1048f3fb/Atalanta-Parma-October-27-2018-Serie-A
Serie A,M,ITA,2019,NA,10,Sat,2018-10-27,18:00,Empoli,1,0.3,Juventus,2,1.7,15889,Stadio Carlo Castellani,Giampaolo Calvarese,NA,https://fbref.com/en/matches/8fe69070/Empoli-Juventus-October-27-2018-Serie-A
Serie A,M,ITA,2019,NA,10,Sat,2018-10-27,20:30,Torino,1,0.9,Fiorentina,1,1.2,17871,Stadio Olimpico di Torino,Michael Fabbri,NA,https://fbref.com/en/matches/e12deac7/Torino-Fiorentina-October-27-2018-Serie-A
Serie A,M,ITA,2019,NA,10,Sun,2018-10-28,12:30,Sassuolo,2,2.2,Bologna,2,1.3,12647,Stadio Città del Tricolore,Daniele Doveri,NA,https://fbref.com/en/matches/d335a746/Sassuolo-Bologna-October-28-2018-Serie-A
Serie A,M,ITA,2019,NA,10,Sun,2018-10-28,15:00,Cagliari,2,1.5,Chievo,1,1.2,15805,Sardegna Arena,Marco Piccinini,NA,https://fbref.com/en/matches/e6163c2a/Cagliari-Chievo-October-28-2018-Serie-A
Serie A,M,ITA,2019,NA,10,Sun,2018-10-28,15:00,SPAL,0,0.9,Frosinone,3,1,13676,Stadio Paolo Mazza,Daniele Chiffi,NA,https://fbref.com/en/matches/86b4e007/SPAL-Frosinone-October-28-2018-Serie-A
Serie A,M,ITA,2019,NA,10,Sun,2018-10-28,15:00,Genoa,2,1.7,Udinese,2,0.5,18880,Stadio Comunale Luigi Ferraris,Paolo Mazzoleni,NA,https://fbref.com/en/matches/bc7cf1b6/Genoa-Udinese-October-28-2018-Serie-A
Serie A,M,ITA,2019,NA,10,Sun,2018-10-28,18:00,Milan,3,2,Sampdoria,2,0.6,47347,Stadio Giuseppe Meazza,Fabio Maresca,NA,https://fbref.com/en/matches/e941f340/Milan-Sampdoria-October-28-2018-Serie-A
Serie A,M,ITA,2019,NA,10,Sun,2018-10-28,20:30,Napoli,1,2.1,Roma,1,0.6,30037,Stadio San Paolo,Davide Massa,NA,https://fbref.com/en/matches/cd2f642f/Derby-del-Sole-Napoli-Roma-October-28-2018-Serie-A
Serie A,M,ITA,2019,NA,10,Mon,2018-10-29,20:30,Lazio,0,1.4,Inter,3,1.9,40068,Stadio Olimpico,Massimiliano Irrati,NA,https://fbref.com/en/matches/3d9c6a02/Lazio-Internazionale-October-29-2018-Serie-A
Serie A,M,ITA,2019,NA,11,Fri,2018-11-02,20:30,Napoli,5,2,Empoli,1,1.2,31370,Stadio San Paolo,Luca Pairetto,NA,https://fbref.com/en/matches/aef9f881/Napoli-Empoli-November-2-2018-Serie-A
Serie A,M,ITA,2019,NA,11,Sat,2018-11-03,15:00,Inter,5,2.9,Genoa,0,0.4,67532,Stadio Giuseppe Meazza,Paolo Valeri,NA,https://fbref.com/en/matches/7e11d375/Internazionale-Genoa-November-3-2018-Serie-A
Serie A,M,ITA,2019,NA,11,Sat,2018-11-03,18:00,Fiorentina,1,1.3,Roma,1,1.6,30590,Stadio Artemio Franchi,Luca Banti,NA,https://fbref.com/en/matches/88a737bc/Fiorentina-Roma-November-3-2018-Serie-A
Serie A,M,ITA,2019,NA,11,Sat,2018-11-03,20:30,Juventus,3,1.8,Cagliari,1,0.7,40644,Allianz Stadium,Maurizio Mariani,NA,https://fbref.com/en/matches/509c0a53/Juventus-Cagliari-November-3-2018-Serie-A
Serie A,M,ITA,2019,NA,11,Sun,2018-11-04,12:30,Lazio,4,2.2,SPAL,1,1.2,35573,Stadio Olimpico,Marco Guida,NA,https://fbref.com/en/matches/1c2946a4/Lazio-SPAL-November-4-2018-Serie-A
Serie A,M,ITA,2019,NA,11,Sun,2018-11-04,15:00,Sampdoria,1,1.4,Torino,4,2.3,20364,Stadio Comunale Luigi Ferraris,Gianluca Rocchi,NA,https://fbref.com/en/matches/6ca98909/Sampdoria-Torino-November-4-2018-Serie-A
Serie A,M,ITA,2019,NA,11,Sun,2018-11-04,15:00,Chievo,0,0.3,Sassuolo,2,0.9,8100,Stadio Marc'Antonio Bentegodi,Gianluca Aureliano,NA,https://fbref.com/en/matches/c91dcd07/Chievo-Sassuolo-November-4-2018-Serie-A
Serie A,M,ITA,2019,NA,11,Sun,2018-11-04,15:00,Parma,0,0.5,Frosinone,0,0.5,14004,Stadio Ennio Tardini,Gianluca Manganiello,NA,https://fbref.com/en/matches/bf3d8da2/Parma-Frosinone-November-4-2018-Serie-A
Serie A,M,ITA,2019,NA,11,Sun,2018-11-04,18:00,Bologna,1,1.9,Atalanta,2,1.7,19038,Stadio Renato Dall'Ara,Federico La Penna,NA,https://fbref.com/en/matches/994f1a0f/Bologna-Atalanta-November-4-2018-Serie-A
Serie A,M,ITA,2019,NA,11,Sun,2018-11-04,20:30,Udinese,0,0.5,Milan,1,0.7,23540,Dacia Arena,Marco Di Bello,NA,https://fbref.com/en/matches/9d192295/Udinese-Milan-November-4-2018-Serie-A
Serie A,M,ITA,2019,NA,12,Fri,2018-11-09,20:30,Frosinone,1,0.4,Fiorentina,1,2.1,13378,Stadio Benito Stirpe,Fabrizio Pasqua,NA,https://fbref.com/en/matches/6135ca5f/Frosinone-Fiorentina-November-9-2018-Serie-A
Serie A,M,ITA,2019,NA,12,Sat,2018-11-10,15:00,Torino,1,2.6,Parma,2,1.6,17431,Stadio Olimpico di Torino,Davide Massa,NA,https://fbref.com/en/matches/62e494f0/Torino-Parma-November-10-2018-Serie-A
Serie A,M,ITA,2019,NA,12,Sat,2018-11-10,18:00,SPAL,2,1.7,Cagliari,2,1.2,13250,Stadio Paolo Mazza,Daniele Doveri,NA,https://fbref.com/en/matches/3a437e3a/SPAL-Cagliari-November-10-2018-Serie-A
Serie A,M,ITA,2019,NA,12,Sat,2018-11-10,20:30,Genoa,1,0.7,Napoli,2,1.7,25365,Stadio Comunale Luigi Ferraris,Rosario Abisso,NA,https://fbref.com/en/matches/1354b373/Genoa-Napoli-November-10-2018-Serie-A
Serie A,M,ITA,2019,NA,12,Sun,2018-11-11,12:30,Atalanta,4,3.4,Inter,1,1.4,20633,Stadio Atleti Azzurri d'Italia,Fabio Maresca,NA,https://fbref.com/en/matches/6c35c803/Atalanta-Internazionale-November-11-2018-Serie-A
Serie A,M,ITA,2019,NA,12,Sun,2018-11-11,15:00,Chievo,2,2.2,Bologna,2,1.6,9500,Stadio Marc'Antonio Bentegodi,Daniele Orsato,NA,https://fbref.com/en/matches/fe6431ea/Chievo-Bologna-November-11-2018-Serie-A
Serie A,M,ITA,2019,NA,12,Sun,2018-11-11,15:00,Empoli,2,1.3,Udinese,1,3.9,7553,Stadio Carlo Castellani,Piero Giacomelli,NA,https://fbref.com/en/matches/e9e33752/Empoli-Udinese-November-11-2018-Serie-A
