country,full_name,num_teams,league_name,league_url,last_association_coef
de,Germany,18,Fusball Bundesliga,https://fbref.com/en/comps/20/history/Bundesliga-Seasons,15.214
es,Spain,17,La Liga,https://fbref.com/en/comps/12/history/La-Liga-Seasons,19.571
en,England,16,Premier League,https://fbref.com/en/comps/9/history/Premier-League-Seasons,22.642
it,Italy,15,Serie A,https://fbref.com/en/comps/11/history/Serie-A-Seasons,12.642
fr,France,14,Ligue 1,https://fbref.com/en/comps/13/history/Ligue-1-Seasons,10.583
be,Belgium,6,Belgian Pro League,https://fbref.com/en/comps/37/history/Belgian-Pro-League-Seasons,7.8
ru,Russia,6,Russian Premier League,https://fbref.com/en/comps/30/history/Russian-Premier-League-Seasons,7.583
at,Austria,3,Austrian Football Bundesliga,https://fbref.com/en/comps/56/history/Austrian-Bundesliga-Seasons,6.2
cz,Czechia,3,Czech First League,https://fbref.com/en/comps/66/history/Czech-First-League-Seasons,6.5
gr,Greece,3,Super League Greece,https://fbref.com/en/comps/27/history/Super-League-Greece-Seasons,5.1
hr,Croatia,3,Croatian Football League,https://fbref.com/en/comps/63/history/Hrvatska-NL-Seasons,5.75
nl,Netherlands,3,Eredivise,https://fbref.com/en/comps/23/history/Eredivisie-Seasons,8.6
pt,Portugal,3,Premeira Liga,https://fbref.com/en/comps/32/history/Primeira-Liga-Seasons,10.9
rs,Serbia,3,Serbian SuperLiga,https://fbref.com/en/comps/54/history/Serbian-SuperLiga-Seasons,6
tr,Turkiye,3,Super Lig,https://fbref.com/en/comps/26/history/Super-Lig-Seasons,5.5
ua,Ukraine,3,Ukrainian Premier League,https://fbref.com/en/comps/39/history/Ukrainian-Premier-League-Seasons,5.6
