Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Home_xG,Away,AwayGoals,Away_xG,Attendance,Venue,Referee,Notes,MatchURL
Eredivisie,M,NED,2019,Eredivisie,1,Fri,2018-08-10,20:00,Zwolle,2,4.3,Heerenveen,3,0.6,14000,MAC³PARK Stadion,Dennis Higler,,https://fbref.com/en/matches/eb92fe66/Zwolle-Heerenveen-August-10-2018-Eredivisie
Eredivisie,M,NED,2019,Eredivisie,1,Sat,2018-08-11,18:30,Ajax,1,1.7,Heracles Almelo,1,0.8,51949,Johan Cruyff ArenA,Serdar Gözübüyük,,https://fbref.com/en/matches/42ec3e93/Ajax-Heracles-Almelo-August-11-2018-Eredivisie
Eredivisie,M,NED,2019,Eredivisie,1,Sat,2018-08-11,18:30,Willem II,0,0.8,VVV-Venlo,1,0.3,11800,Koning Willem II Stadion,Rob Dieperink,,https://fbref.com/en/matches/8b4b135f/Willem-II-VVV-Venlo-August-11-2018-Eredivisie
Eredivisie,M,NED,2019,Eredivisie,1,Sat,2018-08-11,20:45,Excelsior,1,1.3,Fortuna Sittard,1,0.9,4400,Van Donge & De Roo Stadion,Siemen Mulder,,https://fbref.com/en/matches/00456889/Excelsior-Fortuna-Sittard-August-11-2018-Eredivisie
Eredivisie,M,NED,2019,Eredivisie,1,Sat,2018-08-11,20:45,PSV Eindhoven,4,1.9,Utrecht,0,0.4,33100,Philips Stadion,Bas Nijhuis,,https://fbref.com/en/matches/605893da/PSV-Eindhoven-Utrecht-August-11-2018-Eredivisie
Eredivisie,M,NED,2019,Eredivisie,1,Sun,2018-08-12,12:15,ADO Den Haag,1,2.2,Emmen,2,1.5,11324,Cars Jeans Stadion,Richard Martens,,https://fbref.com/en/matches/e86df1c9/ADO-Den-Haag-Emmen-August-12-2018-Eredivisie
Eredivisie,M,NED,2019,Eredivisie,1,Sun,2018-08-12,14:30,Vitesse,5,1.1,Groningen,1,1.4,13434,GelreDome,Allard Lindhout,,https://fbref.com/en/matches/f021e649/Vitesse-Groningen-August-12-2018-Eredivisie
Eredivisie,M,NED,2019,Eredivisie,1,Sun,2018-08-12,14:30,De Graafschap,2,1.7,Feyenoord,0,2.1,12600,Stadion De Vijverberg,Pol van Boekel,,https://fbref.com/en/matches/933bf741/De-Graafschap-Feyenoord-August-12-2018-Eredivisie
Eredivisie,M,NED,2019,Eredivisie,1,Sun,2018-08-12,16:45,AZ Alkmaar,5,3.5,NAC Breda,0,0.4,14299,AFAS Stadion,Danny Makkelie,,https://fbref.com/en/matches/4acc1840/AZ-Alkmaar-NAC-Breda-August-12-2018-Eredivisie
Eredivisie,M,NED,2019,Eredivisie,10,Fri,2018-10-26,20:00,Emmen,1,3,VVV-Venlo,1,0.7,8300,De Oude Meerdijk,Rob Dieperink,,https://fbref.com/en/matches/c93536eb/Emmen-VVV-Venlo-October-26-2018-Eredivisie
Eredivisie,M,NED,2019,Eredivisie,10,Sat,2018-10-27,18:30,ADO Den Haag,1,0.9,NAC Breda,1,1.1,12199,Cars Jeans Stadion,Pol van Boekel,,https://fbref.com/en/matches/30684cf8/ADO-Den-Haag-NAC-Breda-October-27-2018-Eredivisie
Eredivisie,M,NED,2019,Eredivisie,10,Sat,2018-10-27,19:45,De Graafschap,4,1.2,Excelsior,1,1.7,12108,Stadion De Vijverberg,Joey Kooij,,https://fbref.com/en/matches/ebb87db5/De-Graafschap-Excelsior-October-27-2018-Eredivisie
Eredivisie,M,NED,2019,Eredivisie,10,Sat,2018-10-27,19:45,Groningen,1,1.5,PSV Eindhoven,2,2.5,18445,Hitachi Capital Mobility Stadion,Danny Makkelie,,https://fbref.com/en/matches/533a9f7a/Groningen-PSV-Eindhoven-October-27-2018-Eredivisie
