Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Home_xG,Away,AwayGoals,Away_xG,Attendance,Venue,Referee,Notes,MatchURL
Primeira Liga,M,POR,2019,NA,1,Fri,2018-08-10,20:30,Benfica,3,1.9,Vitória,2,1,55219,Estádio do Sport Lisboa e Benfica,João Pinheiro,NA,https://fbref.com/en/matches/ccb3880d/Benfica-Vitoria-Guimaraes-August-10-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,1,Sat,2018-08-11,16:30,Vitória Setúbal,2,1.8,Aves,0,0.3,5182,Estádio do Bonfim,Hélder Malheiro,NA,https://fbref.com/en/matches/cedf97d7/Vitoria-Setubal-Aves-August-11-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,1,Sat,2018-08-11,19:00,Tondela,0,1.3,B-SAD,1,0.5,2010,Estádio João Cardoso,Luís Godinho,NA,https://fbref.com/en/matches/ef13f774/Tondela-Belenenses-SAD-August-11-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,1,Sat,2018-08-11,21:00,Porto,5,4.5,Chaves,0,0.1,46509,Estádio Do Dragão,Nuno Almeida,NA,https://fbref.com/en/matches/daaffbed/Porto-Chaves-August-11-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,1,Sun,2018-08-12,16:00,Marítimo,1,2.2,Santa Clara,0,0.8,5893,Estádio dos Barreiros,Anzhony Rodrigues,NA,https://fbref.com/en/matches/af740880/Maritimo-Santa-Clara-August-12-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,1,Sun,2018-08-12,16:00,Feirense,2,1.2,Rio Ave,0,0.4,2646,Estádio Marcolino de Castro,António Nobre,NA,https://fbref.com/en/matches/b8905632/Feirense-Rio-Ave-August-12-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,1,Sun,2018-08-12,18:30,Moreirense,1,0.7,Sporting CP,3,2.6,4886,P.D. Comendador Joaquim de Almeida Freit...,Tiago Martins,NA,https://fbref.com/en/matches/79c6a71c/Moreirense-Sporting-CP-August-12-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,1,Sun,2018-08-12,20:30,Braga,4,2.3,Nacional,2,1.3,12387,Estádio Municipal de Braga,Carlos Xistra,NA,https://fbref.com/en/matches/3a72d467/Braga-Nacional-August-12-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,1,Mon,2018-08-13,20:15,Portimonense,0,1.3,Boavista,2,0.8,3990,Estádio do Portimonense SC,João Santos Capela,NA,https://fbref.com/en/matches/19cb4ad4/Portimonense-Boavista-August-13-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,10,Fri,2018-11-09,19:00,Moreirense,2,1.1,Portimonense,0,0.7,1234,P.D. Comendador Joaquim de Almeida Freit...,Hugo Miguel,NA,https://fbref.com/en/matches/3d20fdc4/Moreirense-Portimonense-November-9-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,10,Fri,2018-11-09,21:15,Vitória Setúbal,2,0.6,Feirense,1,0.3,2196,Estádio do Bonfim,Fábio Costa,NA,https://fbref.com/en/matches/57a442b7/Vitoria-Setubal-Feirense-November-9-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,10,Sat,2018-11-10,15:30,Aves,2,3.4,Rio Ave,1,1,1419,Estádio Clube Desportivo das Aves,Luís Godinho,NA,https://fbref.com/en/matches/39b7d572/Aves-Rio-Ave-November-10-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,10,Sat,2018-11-10,15:30,B-SAD,0,0.8,Boavista,0,0.6,1622,Estádio Nacional,André Narciso,NA,https://fbref.com/en/matches/84ea6f1c/Belenenses-SAD-Boavista-November-10-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,10,Sat,2018-11-10,18:00,Nacional,1,1.4,Marítimo,0,0.9,2981,Estádio da Madeira,Rui Costa,NA,https://fbref.com/en/matches/266a54ad/Nacional-Maritimo-November-10-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,10,Sat,2018-11-10,20:30,Porto,1,0.8,Braga,0,0.8,47929,Estádio Do Dragão,Artur Soares Dias,NA,https://fbref.com/en/matches/4d16b933/Porto-Braga-November-10-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,10,Sun,2018-11-11,15:00,Vitória,2,2.4,Santa Clara,0,0.3,12484,Estádio Dom Afonso Henriques,Carlos Xistra,NA,https://fbref.com/en/matches/df3e4dc7/Vitoria-Guimaraes-Santa-Clara-November-11-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,10,Sun,2018-11-11,17:30,Tondela,1,1.1,Benfica,3,2.8,4755,Estádio João Cardoso,João Pinheiro,NA,https://fbref.com/en/matches/ba68b647/Tondela-Benfica-November-11-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,10,Sun,2018-11-11,20:00,Sporting CP,2,1.8,Chaves,1,0.1,20359,Estádio José Alvalade,Tiago Martins,NA,https://fbref.com/en/matches/510fac15/Sporting-CP-Chaves-November-11-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,11,Fri,2018-11-30,19:30,Santa Clara,2,1.3,B-SAD,3,2.2,2369,Estádio de São Miguel,António Nobre,NA,https://fbref.com/en/matches/e378381c/Santa-Clara-Belenenses-SAD-November-30-2018-Primeira-Liga
Primeira Liga,M,POR,2019,NA,11,Sat,2018-12-01,15:30,Marítimo,0,0.4,Vitória Setúbal,1,0.9,4256,Estádio dos Barreiros,Artur Soares Dias,NA,https://fbref.com/en/matches/fbc6b53e/Maritimo-Vitoria-Setubal-December-1-2018-Primeira-Liga
