Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Away,AwayGoals,Attendance,Venue,Referee,Notes,MatchURL
Russian Premier League,M,RUS,2019,Russian Premier League,1,Sat,2018-07-28,18:30,Ural,0,Anzhi,1,15194,Stadion Central'nyj,Sergey Ivanov,,https://fbref.com/en/matches/dbb538ac/Ural-Yekaterinburg-Anzhi-Makhachkala-July-28-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,1,Sat,2018-07-28,19:00,Spartak Moscow,1,Orenburg,0,36672,Otkrytie Arena,Roman,,https://fbref.com/en/matches/dacce90c/Spartak-Moscow-Orenburg-July-28-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,1,Sat,2018-07-28,21:30,Rostov,1,Akhmat Grozny,0,27975,Rostov Arena,Aleksey Sukhoy,,https://fbref.com/en/matches/97a7b9c2/Rostov-Akhmat-Grozny-July-28-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,1,Sun,2018-07-29,16:30,Arsenal Tula,0,Dynamo Mosc,0,20048,Stadion Arsenal,Stanislav Vasilyev,,https://fbref.com/en/matches/33634100/Arsenal-Tula-Dynamo-Moscow-July-29-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,1,Sun,2018-07-29,18:00,Yenisey,0,Zenit,2,10724,Central'nyj Stadion,Vladimir Moskalev,,https://fbref.com/en/matches/a834810a/Yenisey-Krasnoyarsk-Zenit-July-29-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,1,Sun,2018-07-29,19:00,Rubin Kazan,2,Krasnodar,1,13884,Kazan Arena,Kirill Levnikov,,https://fbref.com/en/matches/dfd77cdc/Rubin-Kazan-Krasnodar-July-29-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,1,Mon,2018-07-30,20:00,Ufa,0,Loko Moscow,0,8368,Stadion Neftyanik,Mikhail Vilkov,,https://fbref.com/en/matches/8bbe7e50/Ufa-Lokomotiv-Moscow-July-30-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,1,Tue,2018-07-31,20:00,Samara,0,CSKA Moscow,0,39137,Cosmos Arena,Sergey Lapochkin,,https://fbref.com/en/matches/b01566c1/Krylia-Sovetov-Samara-CSKA-Moscow-July-31-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,10,Fri,2018-10-05,19:30,Arsenal Tula,1,Ufa,1,8752,Stadion Arsenal,Sergey Karasev,,https://fbref.com/en/matches/7dbf236d/Arsenal-Tula-Ufa-October-5-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,10,Sat,2018-10-06,15:00,Samara,1,Dynamo Mosc,0,14528,Cosmos Arena,Vitaly Meshkov,,https://fbref.com/en/matches/79e1c7c5/Krylia-Sovetov-Samara-Dynamo-Moscow-October-6-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,10,Sat,2018-10-06,16:30,Rostov,0,Orenburg,1,25147,Rostov Arena,Mikhail Vilkov,,https://fbref.com/en/matches/cd553581/Rostov-Orenburg-October-6-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,10,Sat,2018-10-06,19:00,Rubin Kazan,1,Ural,0,5750,Kazan Arena,Sergey Ivanov,,https://fbref.com/en/matches/0d81ec24/Rubin-Kazan-Ural-Yekaterinburg-October-6-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,10,Sun,2018-10-07,14:00,Akhmat Grozny,0,Anzhi,0,30597,Stadion im. Akhmat-Khaji Kadyrova,Nikolay Voloshin,,https://fbref.com/en/matches/3d1993c0/Akhmat-Grozny-Anzhi-Makhachkala-October-7-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,10,Sun,2018-10-07,15:30,Yenisey,2,Spartak Moscow,3,14915,Central'nyj Stadion,Sergey Lapochkin,,https://fbref.com/en/matches/fca9051f/Yenisey-Krasnoyarsk-Spartak-Moscow-October-7-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,10,Sun,2018-10-07,16:30,Zenit,2,Krasnodar,1,52576,Gazprom Arena,Aleksey Eskov,,https://fbref.com/en/matches/d07155bf/Zenit-Krasnodar-October-7-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,10,Sun,2018-10-07,19:00,CSKA Moscow,0,Loko Moscow,1,22275,VEB Arena,Aleksey Matyunin,,https://fbref.com/en/matches/8aea3957/CSKA-Moscow-Lokomotiv-Moscow-October-7-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,11,Fri,2018-10-19,18:00,Anzhi,0,CSKA Moscow,2,9255,Anzhi-Arena,Vasiliy Kazartsev,,https://fbref.com/en/matches/d5211182/Anzhi-Makhachkala-CSKA-Moscow-October-19-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,11,Fri,2018-10-19,20:30,Loko Moscow,2,Rostov,1,13345,RZD Arena,Sergey Lapochkin,,https://fbref.com/en/matches/86cc3b95/Lokomotiv-Moscow-Rostov-October-19-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,11,Sat,2018-10-20,13:30,Orenburg,0,Yenisey,0,4422,Stadion Gazovik,Nikolay Voloshin,,https://fbref.com/en/matches/d5e89e1c/Orenburg-Yenisey-Krasnoyarsk-October-20-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,11,Sat,2018-10-20,16:00,Ural,1,Samara,1,13248,Stadion Central'nyj,Aleksey Sukhoy,,https://fbref.com/en/matches/11f7b384/Ural-Yekaterinburg-Krylia-Sovetov-Samara-October-20-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,11,Sat,2018-10-20,18:30,Ufa,0,Rubin Kazan,0,5166,Stadion Neftyanik,Roman,,https://fbref.com/en/matches/3d3a4de5/Ufa-Rubin-Kazan-October-20-2018-Russian-Premier-League
Russian Premier League,M,RUS,2019,Russian Premier League,11,Sun,2018-10-21,14:00,Dynamo Mosc,1,Zenit,0,12734,Arena Khimki,Sergey Ivanov,,https://fbref.com/en/matches/84e2706f/Dynamo-Moscow-Zenit-October-21-2018-Russian-Premier-League
