Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Away,AwayGoals,Attendance,Venue,Referee,Notes,MatchURL
Serbian SuperLiga,M,SRB,2019,Regular season,1,Fri,2018-07-20,20:00,Red Star,3,Dinamo Vranje,0,5186,Stadion Rajko Mitić,Ilja Brdar,,https://fbref.com/en/matches/2490751a/Red-Star-Dinamo-Vranje-July-20-2018-Serbian-SuperLiga
Serbian SuperLiga,M,SRB,2019,Regular season,1,Fri,2018-07-20,20:00,Vojvodina,1,Mladost Lučani,1,1000,Stadion Karađorđe,Miloš Djordjić,,https://fbref.com/en/matches/bb9e91b6/Vojvodina-Mladost-Lucani-July-20-2018-Serbian-SuperLiga
Serbian SuperLiga,M,SRB,2019,Regular season,1,Sat,2018-07-21,20:00,Napredak Kruševac,1,Rad,0,2000,Stadion Mladost,Novak Simović,,https://fbref.com/en/matches/33181248/Napredak-Krusevac-Rad-July-21-2018-Serbian-SuperLiga
Serbian SuperLiga,M,SRB,2019,Regular season,1,Sat,2018-07-21,20:00,Čukarički,1,Zemun,1,700,Stadion na Banovom brdu,Srđan Jovanović,,https://fbref.com/en/matches/a8da7057/Cukaricki-Zemun-July-21-2018-Serbian-SuperLiga
Serbian SuperLiga,M,SRB,2019,Regular season,1,Sat,2018-07-21,20:00,Voždovac,1,Bačka Palanka,0,300,Stadion Event Place,Milan Ilić,,https://fbref.com/en/matches/ab41ee1a/Vozdovac-Backa-Backa-Palanka-July-21-2018-Serbian-SuperLiga
Serbian SuperLiga,M,SRB,2019,Regular season,1,Sun,2018-07-22,19:00,Radnik Surdulica,1,Partizan,0,2000,Stadion Surdulica,Nenad Đokić,,https://fbref.com/en/matches/f5e6ae7f/Radnik-Surdulica-Partizan-July-22-2018-Serbian-SuperLiga
Serbian SuperLiga,M,SRB,2019,Regular season,1,Sun,2018-07-22,20:00,Radnički Niš,3,Proleter NS,1,1500,Gradski Stadion Čair,Lazar Lukić,,https://fbref.com/en/matches/86f0ba0d/Radnicki-Nis-Proleter-Novi-Sad-July-22-2018-Serbian-SuperLiga
Serbian SuperLiga,M,SRB,2019,Regular season,1,Mon,2018-07-23,17:00,Spartak Subotica,1,Mačva Šabac,0,500,Stadion SPC Hajduk,Petar Piper,,https://fbref.com/en/matches/a1e6c96a/Spartak-Subotica-Macva-Sabac-July-23-2018-Serbian-SuperLiga
Serbian SuperLiga,M,SRB,2019,Relegation round,1,Fri,2019-04-12,17:00,Spartak Subotica,2,Rad,0,500,Gradski stadion,Danilo Grujić,,https://fbref.com/en/matches/db453ff9/Spartak-Subotica-Rad-April-12-2019-Serbian-SuperLiga
Serbian SuperLiga,M,SRB,2019,Championship round,1,Sat,2019-04-13,18:00,Red Star,3,Radnički Niš,0,13150,Stadion Rajko Mitić,Novak Simović,,https://fbref.com/en/matches/4fcf8f94/Red-Star-Radnicki-Nis-April-13-2019-Serbian-SuperLiga
