Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Away,AwayGoals,Attendance,Venue,Referee,Notes,MatchURL
Süper Lig,M,TUR,2019,NA,1,Fri,2018-08-10,21:45,Ankaragücü,1,Galatasaray,3,NA,Osmanlı Stadı,Umit Öztürk,,https://fbref.com/en/matches/7a3f8dbc/Ankaragucu-Galatasaray-August-10-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,1,Sat,2018-08-11,19:30,Rizespor,2,Kasımpaşa,3,NA,Yeni Rize Şehir Stadı,Cüneyt Çakιr,,https://fbref.com/en/matches/5c5d450c/Rizespor-Kasimpasa-August-11-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,1,Sat,2018-08-11,19:30,Sivasspor,1,Alanyaspor,0,NA,Sivas Arena,Arda Kardeşler,,https://fbref.com/en/matches/f0ed9044/Sivasspor-Alanyaspor-August-11-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,1,Sat,2018-08-11,21:45,Fenerbahçe,2,Bursaspor,1,NA,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Halil Meler,,https://fbref.com/en/matches/b7fc4a00/Fenerbahce-Bursaspor-August-11-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,1,Sun,2018-08-12,19:30,Başakşehir,2,Trabzonspor,0,NA,Başakşehir Fatih Terim Stadium,Fırat Aydınus,,https://fbref.com/en/matches/96cdde49/Istanbul-Basaksehir-Trabzonspor-August-12-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,1,Sun,2018-08-12,19:30,Konyaspor,3,BB Erzurumspor,2,NA,Konya Büyükşehir Stadı,Suat Arslanboga,,https://fbref.com/en/matches/baec7952/Konyaspor-BB-Erzurumspor-August-12-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,1,Sun,2018-08-12,21:45,Göztepe,1,Yeni Mal'spor,3,NA,Bornova Doğanlar Stadı,Özgür Yankaya,,https://fbref.com/en/matches/328e2114/Goztepe-Yeni-Malatyaspor-August-12-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,1,Sun,2018-08-12,21:45,Beşiktaş,2,Akhisarspor,1,NA,Vodafone Arena,Bülent Yıldırım,,https://fbref.com/en/matches/1eea3c97/Besiktas-Akhisar-Belediyespor-August-12-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,1,Mon,2018-08-13,21:45,Kayserispor,2,Antalyaspor,0,NA,Kadir Has Şehir Stadı,Hüseyin Göçek,,https://fbref.com/en/matches/0aa2c90e/Kayserispor-Antalyaspor-August-13-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,10,Fri,2018-10-26,20:00,Bursaspor,2,Alanyaspor,0,NA,Timsah Arena,Halil Meler,,https://fbref.com/en/matches/20e11701/Bursaspor-Alanyaspor-October-26-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,10,Sat,2018-10-27,13:30,BB Erzurumspor,1,Kasımpaşa,1,NA,Kazım Karabekir Stadyumu,Arda Kardeşler,,https://fbref.com/en/matches/ee6248d1/BB-Erzurumspor-Kasimpasa-October-27-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,10,Sat,2018-10-27,16:00,Konyaspor,0,Başakşehir,1,NA,Konya Büyükşehir Stadı,Cüneyt Çakιr,,https://fbref.com/en/matches/c5a36d78/Konyaspor-Istanbul-Basaksehir-October-27-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,10,Sat,2018-10-27,19:00,Antalyaspor,1,Trabzonspor,1,NA,Antalya Atatürk Stadyumu,Yaşar Kemal Uğurlu,,https://fbref.com/en/matches/e6786e60/Antalyaspor-Trabzonspor-October-27-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,10,Sun,2018-10-28,13:30,Kayserispor,2,Sivasspor,0,NA,Kadir Has Şehir Stadı,Alper Ulusoy,,https://fbref.com/en/matches/aed23b7d/Kayserispor-Sivasspor-October-28-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,10,Sun,2018-10-28,18:00,Yeni Mal'spor,2,Galatasaray,0,NA,Yeni Malatya Stadyumu,Halis Özkahya,,https://fbref.com/en/matches/9311c6a9/Yeni-Malatyaspor-Galatasaray-October-28-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,10,Sun,2018-10-28,20:30,Fenerbahçe,1,Ankaragücü,3,NA,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Hüseyin Göçek,,https://fbref.com/en/matches/103d98a4/Fenerbahce-Ankaragucu-October-28-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,10,Mon,2018-10-29,19:00,Beşiktaş,4,Rizespor,1,NA,Vodafone Stadium,Bülent Yıldırım,,https://fbref.com/en/matches/b0cc5ab6/Besiktas-Rizespor-October-29-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,10,Mon,2018-10-29,20:00,Akhisarspor,1,Göztepe,0,NA,Spor Toto Akhisar Stadyumu,Mustafa Ogretmenoglu,,https://fbref.com/en/matches/7cd84847/Akhisar-Belediyespor-Goztepe-October-29-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,11,Fri,2018-11-02,21:00,Galatasaray,2,Fenerbahçe,2,NA,Türk Telekom Arena,Fırat Aydınus,,https://fbref.com/en/matches/87e86599/Intercontinental-Derby-Galatasaray-Fenerbahce-November-2-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,11,Sat,2018-11-03,13:30,Kasımpaşa,1,Antalyaspor,2,NA,Recep Tayyip Erdoğan Stadyumu,Umit Öztürk,,https://fbref.com/en/matches/8d3b9d7e/Kasimpasa-Antalyaspor-November-3-2018-Super-Lig
Süper Lig,M,TUR,2019,NA,11,Sat,2018-11-03,16:00,Akhisarspor,1,BB Erzurumspor,1,NA,Spor Toto Akhisar Stadyumu,Mete Kalkavan,,https://fbref.com/en/matches/3ee84f81/Akhisar-Belediyespor-BB-Erzurumspor-November-3-2018-Super-Lig
