Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Home_xG,Away,AwayGoals,Away_xG,Attendance,Venue,Referee,Notes,MatchURL
UEFA Champions League,M,NA,2020,Group stage,1,Tue,2019-09-17,18:55,Lyon fr,1,1.6,ru Zenit,1,1,47201,Groupama Stadium,Michael Oliver,,https://fbref.com/en/matches/7f6a5ede/Lyon-Zenit-September-17-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,1,Tue,2019-09-17,18:55,Inter it,1,1.4,cz Slavia Prague,1,1,50128,Stadio Giuseppe Meazza,Ruddy Buquet,,https://fbref.com/en/matches/b56e2c3b/Internazionale-Slavia-Prague-September-17-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,1,Tue,2019-09-17,20:00,Benfica pt,1,1.8,de RB Leipzig,2,1,46460,Estádio do Sport Lisboa e Benfica,Tasos Sidiropoulos,,https://fbref.com/en/matches/f871df3b/Benfica-RB-Leipzig-September-17-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,1,Tue,2019-09-17,20:00,Chelsea eng,0,2.8,es Valencia,1,1,39469,Stamford Bridge,Cüneyt Çakιr,,https://fbref.com/en/matches/8c3140a0/Chelsea-Valencia-September-17-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,1,Tue,2019-09-17,21:00,RB Salzburg at,6,4.3,be Genk,2,0.7,29520,Red Bull Arena,Felix Zwayer,,https://fbref.com/en/matches/5b62cee4/Red-Bull-Salzburg-Genk-September-17-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,1,Tue,2019-09-17,21:00,Ajax nl,3,1.5,fr Lille,0,2,51441,Johan Cruyff ArenA,Srđan Jovanović,,https://fbref.com/en/matches/602b7cb7/Ajax-Lille-September-17-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,1,Tue,2019-09-17,21:00,Napoli it,2,1.8,eng Liverpool,0,0.7,38878,Stadio San Paolo,Felix Brych,,https://fbref.com/en/matches/83579d2e/Napoli-Liverpool-September-17-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,1,Tue,2019-09-17,21:00,Dortmund de,0,3.4,es Barcelona,0,0.4,66099,Signal Iduna Park,Ovidiu Hațegan,,https://fbref.com/en/matches/15996455/Dortmund-Barcelona-September-17-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,1,Wed,2019-09-18,18:55,Club Brugge be,0,1.7,tr Galatasaray,0,0.6,26616,Jan Breydelstadion,Slavko Vinčič,,https://fbref.com/en/matches/7b5b1e42/Club-Brugge-Galatasaray-September-18-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,1,Wed,2019-09-18,19:55,Olympiacos gr,2,1.7,eng Tottenham,2,1.7,31001,Stadio Georgios Karaiskáki,Gianluca Rocchi,,https://fbref.com/en/matches/a6045d6f/Olympiacos-Tottenham-Hotspur-September-18-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,1,Wed,2019-09-18,21:00,Paris S-G fr,3,1.7,es Real Madrid,0,0.6,46361,Parc des Princes,Anthony Taylor,,https://fbref.com/en/matches/29e6ad42/Paris-Saint-Germain-Real-Madrid-September-18-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,1,Wed,2019-09-18,21:00,Dinamo Zagreb hr,4,2.7,it Atalanta,0,1.8,28863,Stadion Maksimir,Jesús Gil,,https://fbref.com/en/matches/940279a1/Dinamo-Zagreb-Atalanta-September-18-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,1,Wed,2019-09-18,21:00,Leverkusen de,1,1.5,ru Loko Moscow,2,0.9,26592,BayArena,Paweł Raczkowski,,https://fbref.com/en/matches/d1dd1dea/Bayer-Leverkusen-Lokomotiv-Moscow-September-18-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,1,Wed,2019-09-18,21:00,Atlético Madrid es,2,2.3,it Juventus,2,1.1,66283,Estadio Wanda Metropolitano,Danny Makkelie,,https://fbref.com/en/matches/0fb39d2a/Atletico-Madrid-Juventus-September-18-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,1,Wed,2019-09-18,21:00,Bayern Munich de,3,4.3,rs Red Star,0,0.3,70000,Allianz Arena,Bobby Madden,,https://fbref.com/en/matches/82b3f914/Bayern-Munich-Red-Star-September-18-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,1,Wed,2019-09-18,22:00,Shakhtar ua,0,0.9,eng Manchester City,3,2.5,36675,Oblasny SportKomplex Metalist,Artur Soares Dias,,https://fbref.com/en/matches/dfe33af5/Shakhtar-Donetsk-Manchester-City-September-18-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,2,Tue,2019-10-01,18:55,Atalanta it,1,2.5,ua Shakhtar,2,1.5,26022,Stadio Giuseppe Meazza,Tobias Stieler,,https://fbref.com/en/matches/8932de20/Atalanta-Shakhtar-Donetsk-October-1-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,2,Tue,2019-10-01,18:55,Real Madrid es,2,2.3,be Club Brugge,2,1.4,65112,Estadio Santiago Bernabéu,Georgi Kabakov,,https://fbref.com/en/matches/ab9819b4/Real-Madrid-Club-Brugge-October-1-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,2,Tue,2019-10-01,20:00,Tottenham eng,2,1.9,de Bayern Munich,7,1.3,60127,Tottenham Hotspur Stadium,Clément Turpin,,https://fbref.com/en/matches/ff840ac5/Tottenham-Hotspur-Bayern-Munich-October-1-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,2,Tue,2019-10-01,20:00,Manchester City eng,2,3.6,hr Dinamo Zagreb,0,0.1,49046,Etihad Stadium,Serdar Gözübüyük,,https://fbref.com/en/matches/0c3534e0/Manchester-City-Dinamo-Zagreb-October-1-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,2,Tue,2019-10-01,21:00,Red Star rs,3,1.3,gr Olympiacos,1,0.9,43291,Stadion Rajko Mitić,Benoît Bastien,,https://fbref.com/en/matches/d43971e3/Red-Star-Olympiacos-October-1-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,2,Tue,2019-10-01,21:00,Juventus it,3,1.2,de Leverkusen,0,0.5,34525,Allianz Stadium,William Collum,,https://fbref.com/en/matches/65d33c61/Juventus-Bayer-Leverkusen-October-1-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,2,Tue,2019-10-01,22:00,Loko Moscow ru,0,1.1,es Atlético Madrid,2,2.9,27051,RZD Arena,Orel Grinfeeld,,https://fbref.com/en/matches/22e9e396/Lokomotiv-Moscow-Atletico-Madrid-October-1-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,2,Tue,2019-10-01,22:00,Galatasaray tr,0,0.5,fr Paris S-G,1,2.6,46532,Türk Telekom Arena,Szymon Marciniak,,https://fbref.com/en/matches/b53a6f14/Galatasaray-Paris-Saint-Germain-October-1-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,2,Wed,2019-10-02,18:55,Genk be,0,0.7,it Napoli,0,3.2,19962,Luminus Arena,István Kovács,,https://fbref.com/en/matches/dc832bb3/Genk-Napoli-October-2-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,2,Wed,2019-10-02,18:55,Slavia Prague cz,0,1.4,de Dortmund,2,0.8,19370,Sinobo Stadium,Björn Kuipers,,https://fbref.com/en/matches/dd362c79/Slavia-Prague-Dortmund-October-2-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,2,Wed,2019-10-02,20:00,Liverpool eng,4,2.5,at RB Salzburg,3,1.6,52243,Anfield,Andreas Ekberg,,https://fbref.com/en/matches/ca11ab0f/Liverpool-Red-Bull-Salzburg-October-2-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,2,Wed,2019-10-02,21:00,Valencia es,0,2,nl Ajax,3,1.7,44659,Estadio de Mestalla,Daniele Orsato,,https://fbref.com/en/matches/f5105c79/Valencia-Ajax-October-2-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,2,Wed,2019-10-02,21:00,Barcelona es,2,1.5,it Inter,1,1.1,86141,Camp Nou,Damir Skomina,,https://fbref.com/en/matches/3186a3c6/Barcelona-Internazionale-October-2-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,2,Wed,2019-10-02,21:00,RB Leipzig de,0,1.9,fr Lyon,2,1.5,40194,Red Bull Arena,Antonio Matéu Lahoz,,https://fbref.com/en/matches/dc85ee46/RB-Leipzig-Lyon-October-2-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,2,Wed,2019-10-02,21:00,Lille fr,1,0.6,eng Chelsea,2,1.4,48523,Stade Pierre-Mauroy,Aliaksei Kulbakou,,https://fbref.com/en/matches/e95c1aa2/Lille-Chelsea-October-2-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,2,Wed,2019-10-02,22:00,Zenit ru,3,2.1,pt Benfica,1,1.2,51683,Gazprom Arena,Carlos del Cerro,,https://fbref.com/en/matches/547eaeda/Zenit-Benfica-October-2-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,3,Tue,2019-10-22,18:55,Atlético Madrid es,1,0.8,de Leverkusen,0,0.5,56776,Estadio Wanda Metropolitano,Artur Soares Dias,,https://fbref.com/en/matches/b2172c27/Atletico-Madrid-Bayer-Leverkusen-October-22-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,3,Tue,2019-10-22,19:55,Shakhtar ua,2,1.5,hr Dinamo Zagreb,2,2.1,21526,Oblasny SportKomplex Metalist,Antonio Matéu Lahoz,,https://fbref.com/en/matches/f24b9cb9/Shakhtar-Donetsk-Dinamo-Zagreb-October-22-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,3,Tue,2019-10-22,20:00,Manchester City eng,5,4.2,it Atalanta,1,1.8,49308,Etihad Stadium,Orel Grinfeeld,,https://fbref.com/en/matches/a84fbb10/Manchester-City-Atalanta-October-22-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,3,Tue,2019-10-22,20:00,Tottenham eng,5,3.7,rs Red Star,0,0.6,51743,Tottenham Hotspur Stadium,Marco Guida,,https://fbref.com/en/matches/0b56c2fe/Tottenham-Hotspur-Red-Star-October-22-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,3,Tue,2019-10-22,21:00,Juventus it,2,2.4,ru Loko Moscow,1,0.7,38547,Allianz Stadium,Tasos Sidiropoulos,,https://fbref.com/en/matches/a3137d22/Juventus-Lokomotiv-Moscow-October-22-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,3,Tue,2019-10-22,21:00,Club Brugge be,0,0.3,fr Paris S-G,5,3.5,26946,Jan Breydelstadion,Daniel Siebert,,https://fbref.com/en/matches/46267369/Club-Brugge-Paris-Saint-Germain-October-22-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,3,Tue,2019-10-22,22:00,Olympiacos gr,2,0.5,de Bayern Munich,3,2.6,31670,Stadio Georgios Karaiskáki,Danny Makkelie,,https://fbref.com/en/matches/14139171/Olympiacos-Bayern-Munich-October-22-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,3,Tue,2019-10-22,22:00,Galatasaray tr,0,1.2,es Real Madrid,1,2.4,48886,Türk Telekom Arena,Daniele Orsato,,https://fbref.com/en/matches/4caaf45c/Galatasaray-Real-Madrid-October-22-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,3,Wed,2019-10-23,18:55,RB Leipzig de,2,2.2,ru Zenit,1,0.7,41058,Red Bull Arena,Ali Palabıyık,,https://fbref.com/en/matches/59b7cadf/RB-Leipzig-Zenit-October-23-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,3,Wed,2019-10-23,18:55,Ajax nl,0,0.5,eng Chelsea,1,1.6,52482,Johan Cruyff ArenA,Ovidiu Hațegan,,https://fbref.com/en/matches/b2a13253/Ajax-Chelsea-October-23-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,3,Wed,2019-10-23,20:00,Benfica pt,2,0.5,fr Lyon,1,1.5,53035,Estádio do Sport Lisboa e Benfica,Ivan Kružliak,,https://fbref.com/en/matches/dd024c20/Benfica-Lyon-October-23-2019-Champions-League
UEFA Champions League,M,NA,2020,Group stage,3,Wed,2019-10-23,21:00,Lille fr,1,1.9,es Valencia,1,0.6,47488,Stade Pierre-Mauroy,Deniz Aytekin,,https://fbref.com/en/matches/6e41ea0a/Lille-Valencia-October-23-2019-Champions-League
