Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Away,AwayGoals,Attendance,Venue,Referee,Notes,MatchURL
Ukrainian Premier League,M,UKR,2019,Regular season,1,Sun,2018-07-22,14:00,Zorya Luhansk,2,FC Mariupol,1,1956,Slavutych-Arena,Mykola Balakin,,https://fbref.com/en/matches/6c99c0ea/Zorya-Luhansk-FC-Mariupol-July-22-2018-Ukrainian-Premier-League
Ukrainian Premier League,M,UKR,2019,Regular season,1,Sun,2018-07-22,17:00,Karpaty Lviv,0,FC Oleksandriya,2,6796,Stadion Ukrajina,Dmytro Kutakov,,https://fbref.com/en/matches/ce919b09/Karpaty-Lviv-FC-Oleksandriya-July-22-2018-Ukrainian-Premier-League
Ukrainian Premier League,M,UKR,2019,Regular season,1,Sun,2018-07-22,19:30,Arsenal-Kyiv,0,FC Lviv,2,2430,Stadion Dynamo im. Valery Lobanovsky,Oleksandr Derdo,,https://fbref.com/en/matches/42225468/Arsenal-Kyiv-FC-Lviv-July-22-2018-Ukrainian-Premier-League
Ukrainian Premier League,M,UKR,2019,Regular season,1,Mon,2018-07-23,19:00,Chornomorets,2,Olimpik Donetsk,1,4364,SK Lyustdorf,Mykola Kryvonosov,,https://fbref.com/en/matches/01f29060/Chornomorets-Odesa-Olimpik-Donetsk-July-23-2018-Ukrainian-Premier-League
Ukrainian Premier League,M,UKR,2019,Regular season,1,Wed,2018-07-25,19:00,Desna Chernihiv,0,Shakhtar,2,5500,Stadion im. Yuriya Haharina,Anatolii Abdula,,https://fbref.com/en/matches/2e6477e4/Desna-Chernihiv-Shakhtar-Donetsk-July-25-2018-Ukrainian-Premier-League
Ukrainian Premier League,M,UKR,2019,Regular season,1,Wed,2018-07-25,19:00,Dynamo Kyiv,1,Vorskla Poltava,0,NA,NSK Olimpijs'kyj,Viktor Kopievskii,,https://fbref.com/en/matches/2910dc8e/Dynamo-Kyiv-Vorskla-Poltava-July-25-2018-Ukrainian-Premier-League
Ukrainian Premier League,M,UKR,2019,Relegation round,1,Tue,2019-04-02,17:00,Karpaty Lviv,4,Vorskla Poltava,0,2231,Stadion Ukrajina,Dmytro Kryvushkin,,https://fbref.com/en/matches/ab04bec3/Karpaty-Lviv-Vorskla-Poltava-April-2-2019-Ukrainian-Premier-League
Ukrainian Premier League,M,UKR,2019,Championship round,1,Wed,2019-04-03,17:00,FC Oleksandriya,0,Shakhtar,1,3278,KSK Nika,Denys Shurman,,https://fbref.com/en/matches/d6b72684/FC-Oleksandriya-Shakhtar-Donetsk-April-3-2019-Ukrainian-Premier-League
Ukrainian Premier League,M,UKR,2019,Championship round,1,Wed,2019-04-03,18:30,Zorya Luhansk,2,Dynamo Kyiv,3,7238,Slavutych-Arena,Viktor Kopievskii,,https://fbref.com/en/matches/78930b32/Zorya-Luhansk-Dynamo-Kyiv-April-3-2019-Ukrainian-Premier-League
Ukrainian Premier League,M,UKR,2019,Championship round,1,Wed,2019-04-03,19:30,FC Lviv,2,FC Mariupol,3,1200,Stadion Ukrajina,Mykola Balakin,,https://fbref.com/en/matches/98ed9c47/FC-Lviv-FC-Mariupol-April-3-2019-Ukrainian-Premier-League
