round,team1,team2,winner
Quarter,RB Leipzig,Atlético Madrid,RB Leipzig
Quarter,Atalanta,Paris S-G,Paris S-G
Quarter,Manchester City,Lyon,Manchester City
Quarter,Barcelona,Bayern Munich,Bayern Munich
Semi,RB Leipzig,Paris S-G,Paris S-G
Semi,Manchester City,Bayern Munich,Manchester City
Final,Paris S-G,Manchester City,Paris S-G
Quarter,RB Leipzig,Atlético Madrid,RB Leipzig
Quarter,Atalanta,Paris S-G,Paris S-G
Quarter,Manchester City,Lyon,Manchester City
Quarter,Barcelona,Bayern Munich,Barcelona
Semi,RB Leipzig,Paris S-G,Paris S-G
Semi,Manchester City,Barcelona,Barcelona
Final,Paris S-G,Barcelona,Paris S-G
Quarter,RB Leipzig,Atlético Madrid,RB Leipzig
Quarter,Atalanta,Paris S-G,Atalanta
Quarter,Manchester City,Lyon,Manchester City
Quarter,Barcelona,Bayern Munich,Bayern Munich
Semi,RB Leipzig,Atalanta,Atalanta
Semi,Manchester City,Bayern Munich,Manchester City
Final,Atalanta,Manchester City,Manchester City
Quarter,RB Leipzig,Atlético Madrid,Atlético Madrid
Quarter,Atalanta,Paris S-G,Paris S-G
Quarter,Manchester City,Lyon,Manchester City
Quarter,Barcelona,Bayern Munich,Bayern Munich
Semi,Atlético Madrid,Paris S-G,Paris S-G
Semi,Manchester City,Bayern Munich,Bayern Munich
Final,Paris S-G,Bayern Munich,Bayern Munich
Quarter,RB Leipzig,Atlético Madrid,RB Leipzig
Quarter,Atalanta,Paris S-G,Paris S-G
Quarter,Manchester City,Lyon,Manchester City
Quarter,Barcelona,Bayern Munich,Bayern Munich
Semi,RB Leipzig,Paris S-G,Paris S-G
Semi,Manchester City,Bayern Munich,Manchester City
Final,Paris S-G,Manchester City,Paris S-G
Quarter,RB Leipzig,Atlético Madrid,RB Leipzig
Quarter,Atalanta,Paris S-G,Paris S-G
Quarter,Manchester City,Lyon,Manchester City
Quarter,Barcelona,Bayern Munich,Bayern Munich
Semi,RB Leipzig,Paris S-G,RB Leipzig
Semi,Manchester City,Bayern Munich,Manchester City
Final,RB Leipzig,Manchester City,Manchester City
Quarter,RB Leipzig,Atlético Madrid,RB Leipzig
Quarter,Atalanta,Paris S-G,Paris S-G
Quarter,Manchester City,Lyon,Manchester City
Quarter,Barcelona,Bayern Munich,Bayern Munich
Semi,RB Leipzig,Paris S-G,Paris S-G
Semi,Manchester City,Bayern Munich,Bayern Munich
Final,Paris S-G,Bayern Munich,Paris S-G
Quarter,RB Leipzig,Atlético Madrid,Atlético Madrid
Quarter,Atalanta,Paris S-G,Paris S-G
Quarter,Manchester City,Lyon,Manchester City
Quarter,Barcelona,Bayern Munich,Bayern Munich
Semi,Atlético Madrid,Paris S-G,Paris S-G
Semi,Manchester City,Bayern Munich,Manchester City
Final,Paris S-G,Manchester City,Paris S-G
Quarter,RB Leipzig,Atlético Madrid,Atlético Madrid
Quarter,Atalanta,Paris S-G,Paris S-G
Quarter,Manchester City,Lyon,Manchester City
Quarter,Barcelona,Bayern Munich,Bayern Munich
Semi,Atlético Madrid,Paris S-G,Paris S-G
Semi,Manchester City,Bayern Munich,Bayern Munich
